Tweet,Label
It's a cowboy game set in the late 1800s.,Neutral
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
Just bought Red Dead Redemption 2 on sale.,Neutral
RDR2 is way too slow and boring. The pacing is terrible.,Negative
I fell asleep playing this. The animations take forever.,Negative
I fell asleep playing this. The animations take forever.,Negative
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Just bought Red Dead Redemption 2 on sale.,Neutral
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
Just finished the main story. What an incredible emotional journey.,Positive
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
It's a cowboy game set in the late 1800s.,Neutral
Just finished the main story. What an incredible emotional journey.,Positive
Just bought Red Dead Redemption 2 on sale.,Neutral
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Does anyone know how to find the white Arabian horse?,Neutral
Playing RDR2 this weekend to see what the hype is about.,Neutral
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
RDR2 is way too slow and boring. The pacing is terrible.,Negative
It's a cowboy game set in the late 1800s.,Neutral
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
Way too much riding a horse around doing nothing. Overrated.,Negative
I fell asleep playing this. The animations take forever.,Negative
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
RDR2 is way too slow and boring. The pacing is terrible.,Negative
Does anyone know how to find the white Arabian horse?,Neutral
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Playing RDR2 this weekend to see what the hype is about.,Neutral
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
Way too much riding a horse around doing nothing. Overrated.,Negative
Just bought Red Dead Redemption 2 on sale.,Neutral
Just finished the main story. What an incredible emotional journey.,Positive
It's a cowboy game set in the late 1800s.,Neutral
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
RDR2 is way too slow and boring. The pacing is terrible.,Negative
RDR2 is way too slow and boring. The pacing is terrible.,Negative
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
I fell asleep playing this. The animations take forever.,Negative
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Just bought Red Dead Redemption 2 on sale.,Neutral
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Does anyone know how to find the white Arabian horse?,Neutral
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
Way too much riding a horse around doing nothing. Overrated.,Negative
Just finished the main story. What an incredible emotional journey.,Positive
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Just finished the main story. What an incredible emotional journey.,Positive
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
Just finished the main story. What an incredible emotional journey.,Positive
It's a cowboy game set in the late 1800s.,Neutral
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
I fell asleep playing this. The animations take forever.,Negative
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
Rockstar released an update for Red Dead Redemption today.,Neutral
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
Rockstar released an update for Red Dead Redemption today.,Neutral
I fell asleep playing this. The animations take forever.,Negative
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
RDR2 is way too slow and boring. The pacing is terrible.,Negative
Way too much riding a horse around doing nothing. Overrated.,Negative
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
Playing RDR2 this weekend to see what the hype is about.,Neutral
Rockstar released an update for Red Dead Redemption today.,Neutral
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
It's a cowboy game set in the late 1800s.,Neutral
Way too much riding a horse around doing nothing. Overrated.,Negative
Just bought Red Dead Redemption 2 on sale.,Neutral
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Rockstar released an update for Red Dead Redemption today.,Neutral
I fell asleep playing this. The animations take forever.,Negative
The wanted system is broken. Bounty hunters spawn out of nowhere.,Negative
Rockstar released an update for Red Dead Redemption today.,Neutral
Way too much riding a horse around doing nothing. Overrated.,Negative
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
Way too much riding a horse around doing nothing. Overrated.,Negative
Arthur Morgan is the best protagonist in gaming history. 10/10.,Positive
The graphics and attention to detail in RDR2 blow my mind every time.,Positive
Just finished the main story. What an incredible emotional journey.,Positive
Playing RDR2 this weekend to see what the hype is about.,Neutral
Does anyone know how to find the white Arabian horse?,Neutral
Rockstar released an update for Red Dead Redemption today.,Neutral
Does anyone know how to find the white Arabian horse?,Neutral
Playing RDR2 this weekend to see what the hype is about.,Neutral
Red Dead Redemption 2 is an absolute masterpiece. The open world is stunning!,Positive
RDR2 is way too slow and boring. The pacing is terrible.,Negative
Does anyone know how to find the white Arabian horse?,Neutral
Riding through Valentine in the rain feels so realistic. Amazing game.,Positive
Playing RDR2 this weekend to see what the hype is about.,Neutral
Controls are clunky and unresponsive. It feels like steering a tank.,Negative
